,,,,,,,
Metabolite,,,,,,,
RuBP_s,3,5,,,,,
3PGA_s,6,9,,,,,
BPGA_s,10,12,15,,,,
GAP_s,16,15,18,20,24,31,42
DHAP_s,21,22,26,36,,,
FBP_s,25,26,28,,,,
F6P_s,29,31,55,,,,
E4P_s,32,34,36,,,,
X5P_s,33,34,44,46,,,
SBP_s,37,38,40,,,,
S7P_s,41,42,,,,,
R5P_s,43,44,50,,,,
Ru5P_s,47,48,51,53,,,
G1P_s,60,61,63,,,,
G6P_s,56,57,59,,,,
ADPG_s,64,65,,,,,
ATP_s,7,9,53,63,,,
ADP_s,11,12,65,,,,
NADP_s,17,18,,,,,
NADPH_s,13,15,,,,,
CO2_s,1,5,,,,,
RuBP_y,66,68,,,,,
3PGA_y,69,72,,,,,
BPGA_y,73,75,78,,,,
GAP_y,79,78,81,83,87,94,105
DHAP_y,84,85,87,99,,,
FBP_y,88,89,91,,,,
F6P_y,92,94,118,,,,
E4P_y,95,97,99,,,,
X5P_y,96,97,107,109,,,
SBP_y,100,101,103,,,,
S7P_y,104,105,,,,,
R5P_y,106,107,113,,,,
Ru5P_y,110,111,114,116,,,
G1P_y,123,124,126,,,,
G6P_y,119,120,122,,,,
ADPG_y,127,128,,,,,
ATP_y,70,72,116,126,,,
ADP_y,74,75,128,,,,
NADP_y,80,81,,,,,
NADPH_y,76,78,,,,,
CO2_y,2,68,,,,,
